# the byte and line start/end positions of each array in several xsp files
# (useful for seeking)
codes_300ast_20100725.xsp:3641453:66137717:END_ARRAY 142 25609
codes_300ast_20100725.xsp:3641454:66137737:BEGIN_ARRAY 143 25609
codes_300ast_20100725.xsp:3667097:66601566:END_ARRAY 143 25609
codes_300ast_20100725.xsp:3667098:66601586:BEGIN_ARRAY 144 25609
codes_300ast_20100725.xsp:3692741:67068482:END_ARRAY 144 25609
codes_300ast_20100725.xsp:3692742:67068502:BEGIN_ARRAY 145 25609
codes_300ast_20100725.xsp:3718385:67534825:END_ARRAY 145 25609
codes_300ast_20100725.xsp:3718386:67534845:BEGIN_ARRAY 146 25609
codes_300ast_20100725.xsp:3744029:67999901:END_ARRAY 146 25609
codes_300ast_20100725.xsp:3744030:67999921:BEGIN_ARRAY 147 25609
codes_300ast_20100725.xsp:3769673:68465552:END_ARRAY 147 25609
codes_300ast_20100725.xsp:3769674:68465572:BEGIN_ARRAY 148 25609
codes_300ast_20100725.xsp:3795317:68931813:END_ARRAY 148 25609
codes_300ast_20100725.xsp:3795318:68931833:BEGIN_ARRAY 149 25609
codes_300ast_20100725.xsp:3820961:69397908:END_ARRAY 149 25609
codes_300ast_20100725.xsp:3820962:69397928:BEGIN_ARRAY 150 25609
codes_300ast_20100725.xsp:3846605:69864307:END_ARRAY 150 25609
codes_300ast_20100725.xsp:3846606:69864327:BEGIN_ARRAY 151 25609
codes_300ast_20100725.xsp:3872249:70329037:END_ARRAY 151 25609
codes_300ast_20100725.xsp:3872250:70329057:BEGIN_ARRAY 152 25609
codes_300ast_20100725.xsp:3897893:70795217:END_ARRAY 152 25609
codes_300ast_20100725.xsp:3897894:70795237:BEGIN_ARRAY 153 25609
codes_300ast_20100725.xsp:3923537:71260429:END_ARRAY 153 25609
codes_300ast_20100725.xsp:3923538:71260449:BEGIN_ARRAY 154 25609
codes_300ast_20100725.xsp:3949181:71726099:END_ARRAY 154 25609
codes_300ast_20100725.xsp:3949182:71726119:BEGIN_ARRAY 155 25609
codes_300ast_20100725.xsp:3974825:72191742:END_ARRAY 155 25609
codes_300ast_20100725.xsp:3974826:72191762:BEGIN_ARRAY 156 25609
codes_300ast_20100725.xsp:4000469:72656899:END_ARRAY 156 25609
codes_300ast_20100725.xsp:4000470:72656919:BEGIN_ARRAY 157 25609
codes_300ast_20100725.xsp:4026113:73123321:END_ARRAY 157 25609
codes_300ast_20100725.xsp:4026114:73123341:BEGIN_ARRAY 158 25609
codes_300ast_20100725.xsp:4051757:73589731:END_ARRAY 158 25609
codes_300ast_20100725.xsp:4051758:73589751:BEGIN_ARRAY 159 25609
codes_300ast_20100725.xsp:4077401:74054661:END_ARRAY 159 25609
codes_300ast_20100725.xsp:4077402:74054681:BEGIN_ARRAY 160 25609
codes_300ast_20100725.xsp:4103045:74520802:END_ARRAY 160 25609
codes_300ast_20100725.xsp:4103046:74520822:BEGIN_ARRAY 161 25609
codes_300ast_20100725.xsp:4128689:74986555:END_ARRAY 161 25609
codes_300ast_20100725.xsp:4128690:74986575:BEGIN_ARRAY 162 25609
codes_300ast_20100725.xsp:4154333:75451701:END_ARRAY 162 25609
codes_300ast_20100725.xsp:4154334:75451721:BEGIN_ARRAY 163 25609
codes_300ast_20100725.xsp:4179977:75918016:END_ARRAY 163 25609
codes_300ast_20100725.xsp:4179978:75918036:BEGIN_ARRAY 164 25609
codes_300ast_20100725.xsp:4205621:76385167:END_ARRAY 164 25609
codes_300ast_20100725.xsp:4205622:76385187:BEGIN_ARRAY 165 25609
codes_300ast_20100725.xsp:4231265:76850115:END_ARRAY 165 25609
codes_300ast_20100725.xsp:4231266:76850135:BEGIN_ARRAY 166 25609
codes_300ast_20100725.xsp:4256909:77316311:END_ARRAY 166 25609
codes_300ast_20100725.xsp:4256910:77316331:BEGIN_ARRAY 167 25609
codes_300ast_20100725.xsp:4282553:77781598:END_ARRAY 167 25609
codes_300ast_20100725.xsp:4282554:77781618:BEGIN_ARRAY 168 25609
codes_300ast_20100725.xsp:4308197:78247805:END_ARRAY 168 25609
codes_300ast_20100725.xsp:4308198:78247825:BEGIN_ARRAY 169 25609
codes_300ast_20100725.xsp:4333841:78714405:END_ARRAY 169 25609
codes_300ast_20100725.xsp:4333842:78714425:BEGIN_ARRAY 170 25609
codes_300ast_20100725.xsp:4359485:79180116:END_ARRAY 170 25609
codes_300ast_20100725.xsp:4359486:79180136:BEGIN_ARRAY 171 25609
codes_300ast_20100725.xsp:4385129:79646267:END_ARRAY 171 25609
codes_300ast_20100725.xsp:4385130:79646287:BEGIN_ARRAY 172 25609
codes_300ast_20100725.xsp:4410773:80112308:END_ARRAY 172 25609
codes_300ast_20100725.xsp:4410774:80112328:BEGIN_ARRAY 173 25609
codes_300ast_20100725.xsp:4436417:80577526:END_ARRAY 173 25609
codes_300ast_20100725.xsp:4436418:80577546:BEGIN_ARRAY 174 25609
codes_300ast_20100725.xsp:4462061:81044582:END_ARRAY 174 25609
codes_300ast_20100725.xsp:4462062:81044602:BEGIN_ARRAY 175 25609
codes_300ast_20100725.xsp:4487705:81509567:END_ARRAY 175 25609
codes_300ast_20100725.xsp:4487706:81509587:BEGIN_ARRAY 176 25609
codes_300ast_20100725.xsp:4513349:81975197:END_ARRAY 176 25609
codes_300ast_20100725.xsp:4513350:81975217:BEGIN_ARRAY 177 25609
codes_300ast_20100725.xsp:4538993:82440779:END_ARRAY 177 25609
codes_300ast_20100725.xsp:4538994:82440799:BEGIN_ARRAY 178 25609
codes_300ast_20100725.xsp:4564637:82906841:END_ARRAY 178 25609
codes_300ast_20100725.xsp:4564638:82906861:BEGIN_ARRAY 179 25609
codes_300ast_20100725.xsp:4590281:83372744:END_ARRAY 179 25609
codes_300ast_20100725.xsp:4590282:83372764:BEGIN_ARRAY 180 25609
codes_300ast_20100725.xsp:4615925:83838343:END_ARRAY 180 25609
codes_300ast_20100725.xsp:4615926:83838363:BEGIN_ARRAY 181 25609
codes_300ast_20100725.xsp:4641569:84302893:END_ARRAY 181 25609
codes_300ast_20100725.xsp:4641570:84302913:BEGIN_ARRAY 182 25609
codes_300ast_20100725.xsp:4667213:84768991:END_ARRAY 182 25609
codes_300ast_20100725.xsp:4667214:84769011:BEGIN_ARRAY 183 25609
codes_300ast_20100725.xsp:4692857:85233848:END_ARRAY 183 25609
codes_300ast_20100725.xsp:4692858:85233868:BEGIN_ARRAY 184 25609
