"Angular Separation Finder Calculation"
"Calculation Inputs"
"Calculation type","Angular Separation Event Finder"
"Target 1","MOON"
"Target 1 shape","Point"
"Target 2","SUN"
"Target 2 shape","Point"
"Observer","EARTH"
"Light propagation","No correction"
"Time system","TDB"
"Time format","Seconds past J2000"
"Time range","0 to 3155760000, step 1 hours"
"Coordinate condition","is local maximum"
"Output time unit","seconds"
"Complement result window","no"
"Result interval adjustment","No adjustment"
"Result interval filtering","No filtering"
"Angular Separation Finder Time Intervals"
"Start Time","Stop Time","Duration (secs)"
" 1575918678.831600"," 1575918678.831600",0.00000000E+00
" 1578488924.169100"," 1578488924.169100",0.00000000E+00
" 1581064834.595700"," 1581064834.595700",0.00000000E+00
" 1583639385.323400"," 1583639385.323400",0.00000000E+00
" 1586205825.876200"," 1586205825.876200",0.00000000E+00
" 1588761160.442500"," 1588761160.442500",0.00000000E+00
" 1591306285.050900"," 1591306285.050900",0.00000000E+00
" 1593844078.663300"," 1593844078.663300",0.00000000E+00
" 1596377838.305100"," 1596377838.305100",0.00000000E+00
" 1598910667.424000"," 1598910667.424000",0.00000000E+00
" 1601445443.328400"," 1601445443.328400",0.00000000E+00
" 1603984941.384100"," 1603984941.384100",0.00000000E+00
" 1606531786.475700"," 1606531786.475700",0.00000000E+00
" 1609087849.078300"," 1609087849.078300",0.00000000E+00
" 1611652887.198100"," 1611652887.198100",0.00000000E+00
" 1614223478.450600"," 1614223478.450600",0.00000000E+00
" 1616794160.821600"," 1616794160.821600",0.00000000E+00
" 1619360230.486800"," 1619360230.486800",0.00000000E+00
" 1621919270.115500"," 1621919270.115500",0.00000000E+00
" 1624470741.495000"," 1624470741.495000",0.00000000E+00
" 1627015270.467700"," 1627015270.467700",0.00000000E+00
" 1629554462.998000"," 1629554462.998000",0.00000000E+00
" 1632090857.157500"," 1632090857.157500",0.00000000E+00
" 1634627542.640300"," 1634627542.640300",0.00000000E+00
" 1637167484.211800"," 1637167484.211800",0.00000000E+00
" 1639712831.054500"," 1639712831.054500",0.00000000E+00
