# This CSV contains the distance of 1513 Bayer catalog stars from the Sun
# Field 1: distance in light years (to 4 decimal places)
# Field 2: Bayer Greek letter (first three letters of Anglicization)
# Field 3: Constellation (abbreviation)
427.4653,Eps,Cen
425.2360,Alp,Sge
424.1300,Ups,PsA
424.1300,The,Tuc
423.5791,Lam,CMa
423.5791,Del,Men
421.9353,Lam,Per
421.3903,Nu-3,CMa
420.8466,Gam,Lup
419.7631,Lam,Cen
418.6855,Kap-2,Vol
418.1486,Eps,Tel
417.6134,Gam,Cha
416.5465,Pi,Tau
416.0152,Psi-2,Aur
416.0152,Bet,Pyx
415.4852,Zet,Crv
414.9569,The,Cnc
414.9569,Ome-1,Aql
414.9569,Eta,Gru
414.9569,Del,Cen
414.4295,The,Lup
414.4295,Mu-1,Cru
413.9037,Zet,Men
413.3789,Omi,Aur
412.8558,Zet,Ind
411.8130,Sig,Cen
411.8130,Nu,Cas
411.8130,Eps,Cas
409.2296,Lam,Oct
408.2051,Bet,Psc
407.6950,Eps,Cir
407.1859,Mu-2,Cru
406.6784,Ups,Lup
406.1719,Pi,Leo
405.6666,Zet-1,Ant
405.1627,Eps,CMa
404.6601,Bet,Sex
404.1585,Omi,Lup
404.1585,Bet-1,Sco
403.1595,Eta,Tau
401.6699,Psi-2,Aqr
399.7009,Bet-2,Cyg
399.2117,Ome-2,Cyg
399.2117,Nu,UMa
398.2368,Tau,Tau
398.2368,Bet-2,Sco
395.8203,Mu,CrA
394.8621,Gam,Aql
393.9081,Tau-1,Hyi
393.9081,Pi-1,Oct
393.4332,Rho,Her
393.4332,Ome,Phe
392.9589,Pi,Cet
392.9589,Gam-1,And
392.4860,Nu,Cnc
392.0144,Bet,Cen
391.5438,Gam,Peg
391.5438,Eps,Tri
391.0744,Iot,Aql
390.6061,The-2,Mic
390.6061,Alp,TrA
388.2809,Nu-2,Boo
385.5272,Zet,Cap
385.5272,The,Nor
385.0722,Lam,Aqr
384.6178,Eta,Ret
384.6178,Eta,Gem
384.1648,Tau,For
384.1648,Pi,Vir
384.1648,Del,Mon
383.7131,Zet-2,Ant
383.7131,Lam,Cru
383.7131,Chi,Psc
383.2620,Xi-1,Cet
383.2620,Kap,Cen
382.8122,Eta,Mus
382.8122,Bet,Lup
381.9156,Zet,Cen
381.9156,Kap,Ser
381.0233,Mu,Ari
381.0233,Eta,Vol
380.1351,Bet,Dra
379.6926,Iot-1,Lib
379.2513,Tau-3,Ser
378.8106,Rho,Cen
378.8106,Psi-7,Aur
378.3713,Sig,Ara
378.3713,Chi,Sco
378.3713,Alp,Mic
377.4952,Lam,Cas
377.0588,Tau-8,Eri
376.6234,Psi-3,Psc
376.6234,Pi,Her
376.1893,Eps,Crt
375.3234,The,CrB
375.3234,Mu-1,Cha
375.3234,Chi,Phe
374.8919,Rho,Ser
374.4617,Nu,Cyg
374.4617,Lam,Pic
373.1763,Xi,Cnc
373.1763,Phi-1,Cnc
373.1763,Eps,Tuc
372.7497,Sig,Hya
372.7497,Chi-3,For
371.4760,Ups,Her
371.4760,Ome,Boo
371.4760,Nu,Pup
371.0533,Nu,For
370.6319,Tau-8,Ser
370.6319,Iot,Tel
369.3726,Lam,Her
368.9548,Zet,UMi
368.9548,Xi,Men
368.9548,The,Aps
368.1218,Chi,Peg
367.7070,Kap,Her
366.8795,Tau,Lib
366.0560,Zet,Oph
366.0560,Alp,Ant
365.6457,Mu,Ind
365.2363,Xi-2,Sgr
365.2363,Lam,Peg
364.8277,Lam-1,For
364.0133,Kap,Gru
363.6075,Psi-2,Lup
363.2028,Nu,Psc
362.3955,Zet,CMa
361.5919,Eps,Cha
361.1917,Rho,Oph
360.7921,Eps-1,Ara
360.3932,Psi-6,Aur
359.5987,Sig,Per
359.5987,Alp-1,Her
358.8075,Gam,Cam
358.4132,Kap,UMa
357.6271,Zet,Cru
357.6271,Pi,Cen
354.1324,Rho,Hya
352.9827,Zet,Crt
352.2204,The,Men
352.2204,Eta,Pav
351.8405,Iot,Oct
351.8405,Chi-1,For
351.4611,Rho-2,Ari
350.7054,Nu-1,CMa
350.7054,Iot-1,Cyg
350.7054,Del-2,Cha
349.9527,Rho,Ori
349.5776,Eta,Psc
348.8300,Lam,Nor
348.4572,Del-1,Cha
347.7143,Del,Sgr
345.1386,Del,Cru
344.0463,Ups,Dra
344.0463,Eta,Oct
342.2414,The,TrA
341.8826,Psi,Phe
341.8826,Omi,Dra
341.8826,Ome,Car
341.5245,Bet,Mus
340.1001,Nu,Cet
340.1001,Bet,Crt
339.3924,The,Ant
339.3924,Nu,Hyi
338.6876,Lam-2,Scl
337.9854,Omi,Her
337.9854,Iot,Lup
336.9381,Xi-1,Lib
336.9381,Nu,Ari
336.2434,Eta-1,CrA
335.5516,Mu,Lup
334.5190,Lam,Col
333.4929,Nu,Lep
333.1520,Lam,Dra
332.8122,Xi,Col
332.4730,Eps,Ari
332.1344,Rho-2,Sgr
331.1227,Iot,Cnc
330.7871,Bet,Equ
330.4518,Iot,Scl
330.4518,Eps,Del
330.1175,Del-2,Gru
329.7835,Zet-2,Mus
329.7835,Mu-1,Oct
329.4505,Sig,For
329.1181,Lam,Leo
328.4551,Zet,Dra
328.4551,Ups-1,Cas
327.4658,Tau-9,Eri
326.8096,Zet-1,Mus
326.8096,Bet,Cap
324.8566,Gam,Mus
324.2108,Ups,Oct
323.8889,Rho-1,Eri
323.5673,Psi-4,Aur
322.6074,Kap-2,Cet
321.9704,Del,Sex
321.9704,Alp-1,Cru
321.6528,Eta-1,Dor
321.0197,The,PsA
321.0197,Tau,Gem
321.0197,Phi,Tau
320.7040,Gam-2,Cae
320.3889,Omi,Oph
320.3889,Mu,For
319.7607,Phi-4,Cet
319.4476,Gam,Sct
319.1352,Tau-2,Lup
319.1352,Iot,Ret
318.2011,Pi,Tuc
318.2011,Gam,CMi
318.2011,Eta,CMi
317.8909,Eps,Crv
317.5814,Tau-2,Ari
317.5814,Tau-2,Aqr
317.5814,Tau-1,Aqr
