k,n,p1,p2,p3,p4,p5,p6
1,7,0.7209183528,0.2205539838,0.05071516347,0.007355252629,0.0004536751257,0.000003572245085
2,7,0.3302040466,0.4064214678,0.2008744856,0.05564128944,0.006730109739,0.0001286008230
3,7,0.09577546296,0.3335798182,0.3440822188,0.1812950103,0.04326346022,0.002004029492
4,7,0.01763260174,0.1556641518,0.3267032465,0.3267032465,0.1556641518,0.01763260174
5,7,0.002004029492,0.04326346022,0.1812950103,0.3440822188,0.3335798182,0.09577546296
6,7,0.0001286008230,0.006730109739,0.05564128944,0.2008744856,0.4064214678,0.3302040466
7,7,0.000003572245085,0.0004536751257,0.007355252629,0.05071516347,0.2205539838,0.7209183528
1,8,0.7674319606,0.1935495971,0.03511219231,0.003753834210,0.0001518204161,0.0000005953741808
2,8,0.3953230977,0.4095846908,0.1599359616,0.03256518157,0.002566658093,0.00002441034141
3,8,0.1348468936,0.3969317987,0.3236900577,0.1248696131,0.01922046468,0.0004411722679
4,8,0.03065641194,0.2279931842,0.3780691539,0.2753373390,0.08333511946,0.004608791533
5,8,0.004608791533,0.08333511946,0.2753373390,0.3780691539,0.2279931842,0.03065641194
6,8,0.0004411722679,0.01922046468,0.1248696131,0.3236900577,0.3969317987,0.1348468936
7,8,0.00002441034141,0.002566658093,0.03256518157,0.1599359616,0.4095846908,0.3953230977
8,8,0.0000005953741808,0.0001518204161,0.003753834210,0.03511219231,0.1935495971,0.7674319606
1,9,0.8061933005,0.1677944046,0.02405916987,0.001902319737,0.00005070603440,0.00000009922903013
2,9,0.4573412415,0.3995911367,0.1235363718,0.01856594999,0.0009607354697,0.000004564535386
3,9,0.1782595943,0.4445621301,0.2873345257,0.08156249206,0.008187387276,0.00009387066250
4,9,0.04802149221,0.3016711359,0.3964011218,0.2114838550,0.04128661948,0.001135775479
5,9,0.008950061601,0.1358957444,0.3551541940,0.3551541940,0.1358957444,0.008950061601
6,9,0.001135775479,0.04128661948,0.2114838550,0.3964011218,0.3016711359,0.04802149221
7,9,0.00009387066250,0.008187387276,0.08156249206,0.2873345257,0.4445621301,0.1782595943
8,9,0.000004564535386,0.0009607354697,0.01856594999,0.1235363718,0.3995911367,0.4573412415
9,9,0.00000009922903013,0.00005070603440,0.001902319737,0.02405916987,0.1677944046,0.8061933005
1,10,0.8384944171,0.1441640530,0.01636496742,0.0009596274122,0.00001691854964,0.00000001653817169
2,10,0.5154832513,0.3804675692,0.09330699199,0.01038655066,0.0003547933972,0.0000008434467561
3,10,0.2247732021,0.4760854068,0.2444538910,0.05128354735,0.003384503760,0.00001944888990
4,10,0.06972784255,0.3710078177,0.3873893398,0.1522133631,0.01939411548,0.0002675214652
5,10,0.01546196670,0.1976661134,0.4099187949,0.3003895930,0.07412537548,0.002438156499
6,10,0.002438156499,0.07412537548,0.3003895930,0.4099187949,0.1976661134,0.01546196670
7,10,0.0002675214652,0.01939411548,0.1522133631,0.3873893398,0.3710078177,0.06972784255
8,10,0.00001944888990,0.003384503760,0.05128354735,0.2444538910,0.4760854068,0.2247732021
9,10,0.0000008434467561,0.0003547933972,0.01038655066,0.09330699199,0.3804675692,0.5154832513
10,10,0.00000001653817169,0.00001691854964,0.0009596274122,0.01636496742,0.1441640530,0.8384944171
1,11,0.8654120143,0.1230269658,0.01107273869,0.0004826362207,0.000005642272908,0.000000002756361948
2,11,0.5693184456,0.3555349247,0.06928725464,0.005729539327,0.0001296813169,0.0000001543562691
3,11,0.2732248770,0.4926644691,0.2013958101,0.03134310164,0.001367797759,0.000003944353948
4,11,0.09556873582,0.4318745740,0.3592754402,0.1044580693,0.008762386429,0.00006079431912
5,11,0.02450627935,0.2644909941,0.4365886640,0.2357851272,0.03799964132,0.0006292939709
6,11,0.004608791533,0.1174762565,0.3779149520,0.3779149520,0.1174762565,0.004608791533
7,11,0.0006292939709,0.03799964132,0.2357851272,0.4365886640,0.2644909941,0.02450627935
8,11,0.00006079431912,0.008762386429,0.1044580693,0.3592754402,0.4318745740,0.09556873582
9,11,0.000003944353948,0.001367797759,0.03134310164,0.2013958101,0.4926644691,0.2732248770
10,11,0.0000001543562691,0.0001296813169,0.005729539327,0.06928725464,0.3555349247,0.5693184456
11,11,0.000000002756361948,0.000005642272908,0.0004826362207,0.01107273869,0.1230269658,0.8654120143
1,12,0.8878433452,0.1044493082,0.007463206004,0.0002422589486,0.000001881217030,0.0000000004593936580
2,12,0.6186673737,0.3273811999,0.05077759828,0.003126786214,0.00004701388757,0.00000002802301314
3,12,0.3225738051,0.4963035491,0.1618355364,0.01874330489,0.0005430184637,0.0000007860225488
4,12,0.1251780927,0.4817472292,0.3200766312,0.06914249188,0.003842135643,0.00001341934814
5,12,0.03635002209,0.3321292635,0.4376730582,0.1750892240,0.01860288800,0.0001555442611
6,12,0.007925039502,0.1697974170,0.4350705123,0.3207593917,0.06515509597,0.001292543565
7,12,0.001292543565,0.06515509597,0.3207593917,0.4350705123,0.1697974170,0.007925039502
8,12,0.0001555442611,0.01860288800,0.1750892240,0.4376730582,0.3321292635,0.03635002209
9,12,0.00001341934814,0.003842135643,0.06914249188,0.3200766312,0.4817472292,0.1251780927
10,12,0.0000007860225488,0.0005430184637,0.01874330489,0.1618355364,0.4963035491,0.3225738051
11,12,0.00000002802301314,0.00004701388757,0.003126786214,0.05077759828,0.3273811999,0.6186673737
12,12,0.0000000004593936580,0.000001881217030,0.0002422589486,0.007463206004,0.1044493082,0.8878433452
1,13,0.9065361210,0.08832564790,0.005016160774,0.0001214430870,0.0000006271489088,0.00000000007656560967
2,13,0.6635300356,0.2979332312,0.03682774877,0.001692049287,0.00001693003448,0.000000005053330238
3,13,0.3719227332,0.4893450275,0.1275017706,0.01101783931,0.0002124750795,0.0000001543562691
4,13,0.1580773781,0.5194986213,0.2762814225,0.04449485680,0.001644829744,0.000002891576815
5,13,0.05115470052,0.3968065972,0.4186158508,0.1245996708,0.008786073915,0.00003710683363
6,13,0.01266253660,0.2286455296,0.4681645901,0.2558725091,0.03430979054,0.0003450441450
7,13,0.002397959554,0.1011412856,0.3964607548,0.3964607548,0.1011412856,0.002397959554
8,13,0.0003450441450,0.03430979054,0.2558725091,0.4681645901,0.2286455296,0.01266253660
9,13,0.00003710683363,0.008786073915,0.1245996708,0.4186158508,0.3968065972,0.05115470052
10,13,0.000002891576815,0.001644829744,0.04449485680,0.2762814225,0.5194986213,0.1580773781
11,13,0.0000001543562691,0.0002124750795,0.01101783931,0.1275017706,0.4893450275,0.3719227332
12,13,0.000000005053330238,0.00001693003448,0.001692049287,0.03682774877,0.2979332312,0.6635300356
13,13,0.00000000007656560967,0.0000006271489088,0.0001214430870,0.005016160774,0.08832564790,0.9065361210
1,14,0.9221134342,0.07446107843,0.003364452235,0.00006082608109,0.0000002090623972,0.00000000001276093494
2,14,0.7040310499,0.2685650510,0.02648837178,0.0009094641642,0.000006062273559,0.0000000009060263811
3,14,0.4205239503,0.4741423125,0.09886401070,0.006387560025,0.00008213659999,0.00000002993715338
4,14,0.1937182706,0.5450883158,0.2325068901,0.02799553004,0.0006903828379,0.0000006105596933
5,14,0.06897514678,0.4555243848,0.3857177536,0.08574317371,0.004030947011,0.000008594119618
6,14,0.01907789725,0.2911145794,0.4778324257,0.1945413656,0.01734530234,0.00008842971886
7,14,0.004108722395,0.1453534631,0.4552741426,0.3376473670,0.05692910814,0.0006871967132
8,14,0.0006871967132,0.05692910814,0.3376473670,0.4552741426,0.1453534631,0.004108722395
9,14,0.00008842971886,0.01734530234,0.1945413656,0.4778324257,0.2911145794,0.01907789725
10,14,0.000008594119618,0.004030947011,0.08574317371,0.3857177536,0.4555243848,0.06897514678
11,14,0.0000006105596933,0.0006903828379,0.02799553004,0.2325068901,0.5450883158,0.1937182706
12,14,0.00000002993715338,0.00008213659999,0.006387560025,0.09886401070,0.4741423125,0.4205239503
13,14,0.0000000009060263811,0.000006062273559,0.0009094641642,0.02648837178,0.2685650510,0.7040310499
14,14,0.00000000001276093494,0.0000002090623972,0.00006082608109,0.003364452235,0.07446107843,0.9221134342
1,15,0.9350945285,0.06262181326,0.002253140682,0.00003044788641,0.00000006968959255,0.000000000002126822491
2,15,0.7403781139,0.2402107909,0.01892281396,0.0004861208067,0.000002160281662,0.0000000001616385093
3,15,0.4677751335,0.4528677419,0.07566449760,0.003661195988,0.00003142522089,0.000000005744547547
4,15,0.2315192172,0.5592405947,0.1916620631,0.01729301618,0.0002849821164,0.0000001267075767
5,15,0.08976566742,0.5061695491,0.3448301643,0.05742744317,0.001805234822,0.000001941153014
6,15,0.02739410551,0.3542340561,0.4674929321,0.1423746348,0.008482371388,0.00002190005283
7,15,0.006603584872,0.1964353644,0.4933416660,0.2727914618,0.03063969877,0.0001882242179
8,15,0.001257450994,0.08697414741,0.4117684016,0.4117684016,0.08697414741,0.001257450994
9,15,0.0001882242179,0.03063969877,0.2727914618,0.4933416660,0.1964353644,0.006603584872
10,15,0.00002190005283,0.008482371388,0.1423746348,0.4674929321,0.3542340561,0.02739410551
11,15,0.000001941153014,0.001805234822,0.05742744317,0.3448301643,0.5061695491,0.08976566742
12,15,0.0000001267075767,0.0002849821164,0.01729301618,0.1916620631,0.5592405947,0.2315192172
13,15,0.000000005744547547,0.00003142522089,0.003661195988,0.07566449760,0.4528677419,0.4677751335
14,15,0.0000000001616385093,0.000002160281662,0.0004861208067,0.01892281396,0.2402107909,0.7403781139
